WKT,Site_ID,Location,Lat,Long
POINT (-6.287412154 53.3902844),213,Glasnevin Ave / Beneavin Rd / Grove Rd,53.3902844,-6.287412154
POINT (-6.270197332 53.38992531),214,Glasnevin Av @ Glasnevin Drive,53.38992531,-6.270197332
POINT (-6.2658956 53.3799114),215,Ballymun Rd @ St Michaels ITT & OOT,53.3799114,-6.2658956
POINT (-6.2697734 53.3686101),216,Botanic Rd @ Marguerite Rd,53.3686101,-6.2697734
POINT (-6.2277364 53.3417633),218,Bridge St (Ringsend) @ Church,53.3417633,-6.2277364
POINT (-6.2653776 53.3883477),219,Ballymun Rd @ Our Lady of the Victories School,53.3883477,-6.2653776
POINT (-6.265205397 53.3354574),220,Camden St / Pleasants St ,53.3354574,-6.265205397
POINT (-6.312615 53.3859713),221,Cardiffsbridge Rd @ Wellmount Av,53.3859713,-6.312615
POINT (-6.3370552 53.3467084),222,Chapelizod Rd @ Park Gate,53.3467084,-6.3370552
POINT (-6.1822893 53.3608826),223,Clontarf Rd @ Bull Wall,53.3608826,-6.1822893
POINT (-6.1896509 53.3586382),224,Clontarf Rd @ Conquer Hill Rd,53.3586382,-6.1896509
POINT (-6.2597804 53.3443123),226,College Green @ Grafton St,53.3443123,-6.2597804
POINT (-6.2589401 53.3451139),229,Westmoreland St @ College St,53.3451139,-6.2589401
POINT (-6.258870614 53.34508689),230,College St @ College Green,53.34508689,-6.258870614
POINT (-6.257148034 53.34575682),232,D-Olier St @ Pearse St / Fleet St / Townsend St,53.34575682,-6.257148034
POINT (-6.2609588 53.388311),233,Collins Av @ Albert College Pk,53.388311,-6.2609588
POINT (-6.2499329 53.384696),234,Collins Av @ Falcarragh Rd,53.384696,-6.2499329
POINT (-6.276666115 53.36326055),235,Connaught St @ St Peters Rd,53.36326055,-6.276666115
POINT (-6.281361792 53.3382047),236,Cork Road @ Ormond Road,53.3382047,-6.281361792
POINT (-6.2969966 53.3305567),237,Crumlin Rd @ Loreto Convent,53.3305567,-6.2969966
POINT (-6.299594575 53.32971758),238,Crumlin Rd @ Shopping Centre,53.32971758,-6.299594575
POINT (-6.23515693 53.32150988),243,Donnybrook Rd @ Garda Station,53.32150988,-6.23515693
POINT (-6.2561351 53.3211314),246,Dunville Av @ Oakley Rd,53.3211314,-6.2561351
POINT (-6.2364392 53.3591025),247,East Wall Rd @ Footbridge,53.3591025,-6.2364392
POINT (-6.2397045 53.3628098),248,Fairview Strand @ Philipsburgh Av,53.3628098,-6.2397045
POINT (-6.280146909 53.37082162),249,Finglas Rd @ Claremont Court,53.37082162,-6.280146909
POINT (-6.2415368 53.3401276),254,Grand Canal St @ Macken St,53.3401276,-6.2415368
POINT (-6.2547926 53.3767594),255,Griffith Av @ Clare Rd,53.3767594,-6.2547926
POINT (-6.2312657 53.3697747),256,Griffith Av @ St Declan Tce,53.3697747,-6.2312657
POINT (-6.263298166 53.33542066),257,Harcourt St @ the Hospital (LUAS),53.33542066,-6.263298166
